before_merge,result
"    def analyse_types(self, env):
        self.bases = self.bases.analyse_types(env)
        if self.doc:
            self.doc = self.doc.analyse_types(env)
            self.doc = self.doc.coerce_to_pyobject(env)
        env.use_utility_code(UtilityCode.load_cached(""CreateClass"", ""ObjectHandling.c""))
        return self","1. Use `functools.wraps` to preserve the metadata of the decorated function.
2. Use `inspect.isclass` to check if the argument is a class before calling `analyse_types`.
3. Use `inspect.isfunction` to check if the argument is a function before calling `coerce_to_pyobject`."
"    def generate_result_code(self, code):
        cname = code.intern_identifier(self.name)

        if self.doc:
            code.put_error_if_neg(self.pos,
                'PyDict_SetItem(%s, %s, %s)' % (
                    self.dict.py_result(),
                    code.intern_identifier(
                        StringEncoding.EncodedString(""__doc__"")),
                    self.doc.py_result()))
        py_mod_name = self.get_py_mod_name(code)
        qualname = self.get_py_qualified_name(code)
        code.putln(
            '%s = __Pyx_CreateClass(%s, %s, %s, %s, %s); %s' % (
                self.result(),
                self.bases.py_result(),
                self.dict.py_result(),
                cname,
                qualname,
                py_mod_name,
                code.error_goto_if_null(self.result(), self.pos)))
        code.put_gotref(self.py_result())","1. Use `PyTypeObject` instead of `PyClassObject` to create a new class.
2. Use `PyDict_SetItemString()` to set the `__doc__` attribute.
3. Use `Py_INCREF()` to increment the reference count of the new class."
"    def generate_result_code(self, code):
        code.globalstate.use_utility_code(UtilityCode.load_cached(""Py3ClassCreate"", ""ObjectHandling.c""))
        cname = code.intern_identifier(self.name)
        if self.mkw:
            mkw = self.mkw.py_result()
        else:
            mkw = 'NULL'
        if self.metaclass:
            metaclass = self.metaclass.py_result()
        else:
            metaclass = ""((PyObject*)&__Pyx_DefaultClassType)""
        code.putln(
            '%s = __Pyx_Py3ClassCreate(%s, %s, %s, %s, %s, %d, %d); %s' % (
                self.result(),
                metaclass,
                cname,
                self.bases.py_result(),
                self.dict.py_result(),
                mkw,
                self.calculate_metaclass,
                self.allow_py2_metaclass,
                code.error_goto_if_null(self.result(), self.pos)))
        code.put_gotref(self.py_result())","1. Use `Py_INCREF` and `Py_DECREF` to manage references to objects.
2. Sanitize user input to prevent code injection attacks.
3. Use `assert` statements to check for errors and ensure that the code is behaving as expected."
"    def generate_result_code(self, code):
        if self.mkw:
            code.globalstate.use_utility_code(
                UtilityCode.load_cached(""Py3MetaclassGet"", ""ObjectHandling.c""))
            call = ""__Pyx_Py3MetaclassGet(%s, %s)"" % (
                self.bases.result(),
                self.mkw.result())
        else:
            code.globalstate.use_utility_code(
                UtilityCode.load_cached(""CalculateMetaclass"", ""ObjectHandling.c""))
            call = ""__Pyx_CalculateMetaclass(NULL, %s)"" % (
                self.bases.result())
        code.putln(
            ""%s = %s; %s"" % (
                self.result(), call,
                code.error_goto_if_null(self.result(), self.pos)))
        code.put_gotref(self.py_result())","1. Use `PyTypeObject* PyType_FromSpecWithBases` to create a new metaclass instead of `__Pyx_Py3MetaclassGet` and `__Pyx_CalculateMetaclass`.
2. Use `Py_INCREF` to increase the reference count of the returned metaclass object.
3. Use `Py_DECREF` to decrease the reference count of the returned metaclass object when it is no longer needed."
"    def analyse_types(self, env):
        if self.doc:
            self.doc = self.doc.analyse_types(env)
            self.doc = self.doc.coerce_to_pyobject(env)
        self.type = py_object_type
        self.is_temp = 1
        return self","1. Use `ast.literal_eval` instead of `eval` to sanitize user input.
2. Use `inspect.isbuiltin` to check if a function is a built-in function before calling it.
3. Use `functools.wraps` to preserve the original function's metadata when creating a wrapper function."
"    def generate_result_code(self, code):
        cname = code.intern_identifier(self.name)
        py_mod_name = self.get_py_mod_name(code)
        qualname = self.get_py_qualified_name(code)
        if self.doc:
            doc_code = self.doc.result()
        else:
            doc_code = '(PyObject *) NULL'
        if self.mkw:
            mkw = self.mkw.py_result()
        else:
            mkw = '(PyObject *) NULL'
        if self.metaclass:
            metaclass = self.metaclass.py_result()
        else:
            metaclass = ""(PyObject *) NULL""
        code.putln(
            ""%s = __Pyx_Py3MetaclassPrepare(%s, %s, %s, %s, %s, %s, %s); %s"" % (
                self.result(),
                metaclass,
                self.bases.result(),
                cname,
                qualname,
                mkw,
                py_mod_name,
                doc_code,
                code.error_goto_if_null(self.result(), self.pos)))
        code.put_gotref(self.py_result())","1. Use `Py_INCREF` and `Py_DECREF` to manage references to objects.
2. Check for errors using `PyErr_Occurred` and `PyErr_Clear`.
3. Sanitize user input to prevent against injection attacks."
"    def __init__(self, pos, name, bases, doc, body, decorators=None,
                 keyword_args=None, force_py3_semantics=False):
        StatNode.__init__(self, pos)
        self.name = name
        self.doc = doc
        self.body = body
        self.decorators = decorators
        self.bases = bases
        from . import ExprNodes
        if self.doc and Options.docstrings:
            doc = embed_position(self.pos, self.doc)
            doc_node = ExprNodes.StringNode(pos, value=doc)
        else:
            doc_node = None

        allow_py2_metaclass = not force_py3_semantics
        if keyword_args:
            allow_py2_metaclass = False
            self.is_py3_style_class = True
            if keyword_args.is_dict_literal:
                if keyword_args.key_value_pairs:
                    for i, item in list(enumerate(keyword_args.key_value_pairs))[::-1]:
                        if item.key.value == 'metaclass':
                            if self.metaclass is not None:
                                error(item.pos, ""keyword argument 'metaclass' passed multiple times"")
                            # special case: we already know the metaclass,
                            # so we don't need to do the ""build kwargs,
                            # find metaclass"" dance at runtime
                            self.metaclass = item.value
                            del keyword_args.key_value_pairs[i]
                    self.mkw = keyword_args
                else:
                    assert self.metaclass is not None
            else:
                # MergedDictNode
                self.mkw = ExprNodes.ProxyNode(keyword_args)

        if force_py3_semantics or self.bases or self.mkw or self.metaclass:
            if self.metaclass is None:
                if keyword_args and not keyword_args.is_dict_literal:
                    # **kwargs may contain 'metaclass' arg
                    mkdict = self.mkw
                else:
                    mkdict = None
                if (not mkdict and
                        self.bases.is_sequence_constructor and
                        not self.bases.args):
                    pass  # no base classes => no inherited metaclass
                else:
                    self.metaclass = ExprNodes.PyClassMetaclassNode(
                        pos, mkw=mkdict, bases=self.bases)
                needs_metaclass_calculation = False
            else:
                needs_metaclass_calculation = True

            self.dict = ExprNodes.PyClassNamespaceNode(
                pos, name=name, doc=doc_node,
                metaclass=self.metaclass, bases=self.bases, mkw=self.mkw)
            self.classobj = ExprNodes.Py3ClassNode(
                pos, name=name,
                bases=self.bases, dict=self.dict, doc=doc_node,
                metaclass=self.metaclass, mkw=self.mkw,
                calculate_metaclass=needs_metaclass_calculation,
                allow_py2_metaclass=allow_py2_metaclass)
        else:
            # no bases, no metaclass => old style class creation
            self.dict = ExprNodes.DictNode(pos, key_value_pairs=[])
            self.classobj = ExprNodes.ClassNode(
                pos, name=name,
                bases=bases, dict=self.dict, doc=doc_node)

        self.target = ExprNodes.NameNode(pos, name=name)
        self.class_cell = ExprNodes.ClassCellInjectorNode(self.pos)","1. Use `ExprNodes.PyClassMetaclassNode` to create a metaclass for the class.
2. Use `ExprNodes.PyClassNamespaceNode` to create a namespace for the class.
3. Use `ExprNodes.Py3ClassNode` to create the class object."
"    def as_cclass(self):
        """"""
        Return this node as if it were declared as an extension class
        """"""
        if self.is_py3_style_class:
            error(self.classobj.pos, ""Python3 style class could not be represented as C class"")
            return

        from . import ExprNodes
        return CClassDefNode(self.pos,
                             visibility='private',
                             module_name=None,
                             class_name=self.name,
                             bases=self.classobj.bases or ExprNodes.TupleNode(self.pos, args=[]),
                             decorators=self.decorators,
                             body=self.body,
                             in_pxd=False,
                             doc=self.doc)","1. Use `self.is_py3_style_class` to check if the class is a Python3 style class.
2. If the class is a Python3 style class, use `error()` to raise an error.
3. Return `CClassDefNode` instead of the original node."
"    def analyse_declarations(self, env):
        class_result = self.classobj
        if self.decorators:
            from .ExprNodes import SimpleCallNode
            for decorator in self.decorators[::-1]:
                class_result = SimpleCallNode(
                    decorator.pos,
                    function=decorator.decorator,
                    args=[class_result])
            self.decorators = None
        self.class_result = class_result
        self.class_result.analyse_declarations(env)
        self.target.analyse_target_declaration(env)
        cenv = self.create_scope(env)
        cenv.directives = env.directives
        cenv.class_obj_cname = self.target.entry.cname
        self.body.analyse_declarations(cenv)","1. Use `@staticmethod` instead of `@classmethod` to prevent instantiation of the class.
2. Validate user input before using it to construct objects.
3. Use `f-strings` instead of string concatenation to avoid potential injection attacks."
"    def analyse_expressions(self, env):
        if self.bases:
            self.bases = self.bases.analyse_expressions(env)
        if self.metaclass:
            self.metaclass = self.metaclass.analyse_expressions(env)
        if self.mkw:
            self.mkw = self.mkw.analyse_expressions(env)
        self.dict = self.dict.analyse_expressions(env)
        self.class_result = self.class_result.analyse_expressions(env)
        cenv = self.scope
        self.body = self.body.analyse_expressions(cenv)
        self.target.analyse_target_expression(env, self.classobj)
        self.class_cell = self.class_cell.analyse_expressions(cenv)
        return self","1. Use `functools.wraps` to preserve the metadata of the wrapped function.
2. Use `inspect.iscoroutinefunction` to check if the function is a coroutine.
3. Use `asyncio.coroutine` to mark a function as a coroutine."
"    def file_reporter(self, filename):
        # TODO: let coverage.py handle .py files itself
        #ext = os.path.splitext(filename)[1].lower()
        #if ext == '.py':
        #    from coverage.python import PythonFileReporter
        #    return PythonFileReporter(filename)

        filename = canonical_filename(os.path.abspath(filename))
        if self._c_files_map and filename in self._c_files_map:
            c_file, rel_file_path, code = self._c_files_map[filename]
        else:
            c_file, _ = self._find_source_files(filename)
            if not c_file:
                return None  # unknown file
            rel_file_path, code = self._parse_lines(c_file, filename)
        return CythonModuleReporter(c_file, filename, rel_file_path, code)","1. Use `os.path.relpath()` to get the relative path of the file, instead of using `os.path.abspath()`. This will prevent the file from being read from a different location.
2. Use `canonical_filename()` to get the canonicalized path of the file, which will remove any symbolic links. This will prevent the file from being read from a different location.
3. Use `_find_source_files()` to find the source files for the file, instead of hardcoding the path. This will prevent the file from being read from a different location."
"    def generate_module_preamble(self, env, options, cimported_modules, metadata, code):
        code.put_generated_by()
        if metadata:
            code.putln(""/* BEGIN: Cython Metadata"")
            code.putln(json.dumps(metadata, indent=4, sort_keys=True))
            code.putln(""END: Cython Metadata */"")
            code.putln("""")
        code.putln(""#define PY_SSIZE_T_CLEAN"")

        for inc in sorted(env.c_includes.values(), key=IncludeCode.sortkey):
            if inc.location == inc.INITIAL:
                inc.write(code)
        code.putln(""#ifndef Py_PYTHON_H"")
        code.putln(""    #error Python headers needed to compile C extensions, ""
                   ""please install development version of Python."")
        code.putln(""#elif PY_VERSION_HEX < 0x02070000 || ""
                   ""(0x03000000 <= PY_VERSION_HEX && PY_VERSION_HEX < 0x03030000)"")
        code.putln(""    #error Cython requires Python 2.7+ or Python 3.3+."")
        code.putln(""#else"")
        code.globalstate[""end""].putln(""#endif /* Py_PYTHON_H */"")

        from .. import __version__
        code.putln('#define CYTHON_ABI ""%s""' % __version__.replace('.', '_'))
        code.putln('#define CYTHON_HEX_VERSION %s' % build_hex_version(__version__))
        code.putln(""#define CYTHON_FUTURE_DIVISION %d"" % (
            Future.division in env.context.future_directives))

        self._put_setup_code(code, ""CModulePreamble"")
        if env.context.options.cplus:
            self._put_setup_code(code, ""CppInitCode"")
        else:
            self._put_setup_code(code, ""CInitCode"")
        self._put_setup_code(code, ""PythonCompatibility"")
        self._put_setup_code(code, ""MathInitCode"")

        if options.c_line_in_traceback:
            cinfo = ""%s = %s; "" % (Naming.clineno_cname, Naming.line_c_macro)
        else:
            cinfo = """"
        code.put(""""""
#define __PYX_ERR(f_index, lineno, Ln_error) \\\\
{ \\\\
  %s = %s[f_index]; %s = lineno; %sgoto Ln_error; \\\\
}
"""""" % (Naming.filename_cname, Naming.filetable_cname, Naming.lineno_cname, cinfo))

        code.putln("""")
        self.generate_extern_c_macro_definition(code)
        code.putln("""")

        code.putln(""#define %s"" % Naming.h_guard_prefix + self.api_name(env))
        code.putln(""#define %s"" % Naming.api_guard_prefix + self.api_name(env))
        code.putln(""/* Early includes */"")
        self.generate_includes(env, cimported_modules, code, late=False)
        code.putln("""")
        code.putln(""#if defined(PYREX_WITHOUT_ASSERTIONS) && !defined(CYTHON_WITHOUT_ASSERTIONS)"")
        code.putln(""#define CYTHON_WITHOUT_ASSERTIONS"")
        code.putln(""#endif"")
        code.putln("""")

        if env.directives['ccomplex']:
            code.putln("""")
            code.putln(""#if !defined(CYTHON_CCOMPLEX)"")
            code.putln(""#define CYTHON_CCOMPLEX 1"")
            code.putln(""#endif"")
            code.putln("""")
        code.put(UtilityCode.load_as_string(""UtilityFunctionPredeclarations"", ""ModuleSetupCode.c"")[0])

        c_string_type = env.directives['c_string_type']
        c_string_encoding = env.directives['c_string_encoding']
        if c_string_type not in ('bytes', 'bytearray') and not c_string_encoding:
            error(self.pos, ""a default encoding must be provided if c_string_type is not a byte type"")
        code.putln('#define __PYX_DEFAULT_STRING_ENCODING_IS_ASCII %s' % int(c_string_encoding == 'ascii'))
        if c_string_encoding == 'default':
            code.putln('#define __PYX_DEFAULT_STRING_ENCODING_IS_DEFAULT 1')
        else:
            code.putln('#define __PYX_DEFAULT_STRING_ENCODING_IS_DEFAULT 0')
            code.putln('#define __PYX_DEFAULT_STRING_ENCODING ""%s""' % c_string_encoding)
        if c_string_type == 'bytearray':
            c_string_func_name = 'ByteArray'
        else:
            c_string_func_name = c_string_type.title()
        code.putln('#define __Pyx_PyObject_FromString __Pyx_Py%s_FromString' % c_string_func_name)
        code.putln('#define __Pyx_PyObject_FromStringAndSize __Pyx_Py%s_FromStringAndSize' % c_string_func_name)
        code.put(UtilityCode.load_as_string(""TypeConversions"", ""TypeConversion.c"")[0])

        # These utility functions are assumed to exist and used elsewhere.
        PyrexTypes.c_long_type.create_to_py_utility_code(env)
        PyrexTypes.c_long_type.create_from_py_utility_code(env)
        PyrexTypes.c_int_type.create_from_py_utility_code(env)

        code.put(Nodes.branch_prediction_macros)
        code.putln('static CYTHON_INLINE void __Pyx_pretend_to_initialize(void* ptr) { (void)ptr; }')
        code.putln('')
        code.putln('static PyObject *%s = NULL;' % env.module_cname)
        code.putln('static PyObject *%s;' % env.module_dict_cname)
        code.putln('static PyObject *%s;' % Naming.builtins_cname)
        code.putln('static PyObject *%s = NULL;' % Naming.cython_runtime_cname)
        code.putln('static PyObject *%s;' % Naming.empty_tuple)
        code.putln('static PyObject *%s;' % Naming.empty_bytes)
        code.putln('static PyObject *%s;' % Naming.empty_unicode)
        if Options.pre_import is not None:
            code.putln('static PyObject *%s;' % Naming.preimport_cname)
        code.putln('static int %s;' % Naming.lineno_cname)
        code.putln('static int %s = 0;' % Naming.clineno_cname)
        code.putln('static const char * %s= %s;' % (Naming.cfilenm_cname, Naming.file_c_macro))
        code.putln('static const char *%s;' % Naming.filename_cname)

        env.use_utility_code(UtilityCode.load_cached(""FastTypeChecks"", ""ModuleSetupCode.c""))
        if has_np_pythran(env):
            env.use_utility_code(UtilityCode.load_cached(""PythranConversion"", ""CppSupport.cpp""))","1. Use `Cython.declare` to declare the types of variables. This will help to catch errors early and prevent unexpected behavior.
2. Use `Cython.boundscheck` and `Cython.wraparound` to check for array bounds errors. This will help to prevent security vulnerabilities such as buffer overflows.
3. Use `Cython.cdivision` to disable division by zero. This will help to prevent errors that could crash your program or leak memory."
"    def generate_module_preamble(self, env, options, cimported_modules, metadata, code):
        code.put_generated_by()
        if metadata:
            code.putln(""/* BEGIN: Cython Metadata"")
            code.putln(json.dumps(metadata, indent=4, sort_keys=True))
            code.putln(""END: Cython Metadata */"")
            code.putln("""")
        code.putln(""#define PY_SSIZE_T_CLEAN"")

        for inc in sorted(env.c_includes.values(), key=IncludeCode.sortkey):
            if inc.location == inc.INITIAL:
                inc.write(code)
        code.putln(""#ifndef Py_PYTHON_H"")
        code.putln(""    #error Python headers needed to compile C extensions, ""
                   ""please install development version of Python."")
        code.putln(""#elif PY_VERSION_HEX < 0x02060000 || ""
                   ""(0x03000000 <= PY_VERSION_HEX && PY_VERSION_HEX < 0x03030000)"")
        code.putln(""    #error Cython requires Python 2.6+ or Python 3.3+."")
        code.putln(""#else"")
        code.globalstate[""end""].putln(""#endif /* Py_PYTHON_H */"")

        from .. import __version__
        code.putln('#define CYTHON_ABI ""%s""' % __version__.replace('.', '_'))
        code.putln('#define CYTHON_HEX_VERSION %s' % build_hex_version(__version__))
        code.putln(""#define CYTHON_FUTURE_DIVISION %d"" % (
            Future.division in env.context.future_directives))

        self._put_setup_code(code, ""CModulePreamble"")
        if env.context.options.cplus:
            self._put_setup_code(code, ""CppInitCode"")
        else:
            self._put_setup_code(code, ""CInitCode"")
        self._put_setup_code(code, ""PythonCompatibility"")
        self._put_setup_code(code, ""MathInitCode"")

        if options.c_line_in_traceback:
            cinfo = ""%s = %s; "" % (Naming.clineno_cname, Naming.line_c_macro)
        else:
            cinfo = """"
        code.put(""""""
#define __PYX_ERR(f_index, lineno, Ln_error) \\\\
{ \\\\
  %s = %s[f_index]; %s = lineno; %sgoto Ln_error; \\\\
}
"""""" % (Naming.filename_cname, Naming.filetable_cname, Naming.lineno_cname, cinfo))

        code.putln("""")
        self.generate_extern_c_macro_definition(code)
        code.putln("""")

        code.putln(""#define %s"" % Naming.h_guard_prefix + self.api_name(env))
        code.putln(""#define %s"" % Naming.api_guard_prefix + self.api_name(env))
        code.putln(""/* Early includes */"")
        self.generate_includes(env, cimported_modules, code, late=False)
        code.putln("""")
        code.putln(""#if defined(PYREX_WITHOUT_ASSERTIONS) && !defined(CYTHON_WITHOUT_ASSERTIONS)"")
        code.putln(""#define CYTHON_WITHOUT_ASSERTIONS"")
        code.putln(""#endif"")
        code.putln("""")

        if env.directives['ccomplex']:
            code.putln("""")
            code.putln(""#if !defined(CYTHON_CCOMPLEX)"")
            code.putln(""#define CYTHON_CCOMPLEX 1"")
            code.putln(""#endif"")
            code.putln("""")
        code.put(UtilityCode.load_as_string(""UtilityFunctionPredeclarations"", ""ModuleSetupCode.c"")[0])

        c_string_type = env.directives['c_string_type']
        c_string_encoding = env.directives['c_string_encoding']
        if c_string_type not in ('bytes', 'bytearray') and not c_string_encoding:
            error(self.pos, ""a default encoding must be provided if c_string_type is not a byte type"")
        code.putln('#define __PYX_DEFAULT_STRING_ENCODING_IS_ASCII %s' % int(c_string_encoding == 'ascii'))
        if c_string_encoding == 'default':
            code.putln('#define __PYX_DEFAULT_STRING_ENCODING_IS_DEFAULT 1')
        else:
            code.putln('#define __PYX_DEFAULT_STRING_ENCODING_IS_DEFAULT 0')
            code.putln('#define __PYX_DEFAULT_STRING_ENCODING ""%s""' % c_string_encoding)
        if c_string_type == 'bytearray':
            c_string_func_name = 'ByteArray'
        else:
            c_string_func_name = c_string_type.title()
        code.putln('#define __Pyx_PyObject_FromString __Pyx_Py%s_FromString' % c_string_func_name)
        code.putln('#define __Pyx_PyObject_FromStringAndSize __Pyx_Py%s_FromStringAndSize' % c_string_func_name)
        code.put(UtilityCode.load_as_string(""TypeConversions"", ""TypeConversion.c"")[0])

        # These utility functions are assumed to exist and used elsewhere.
        PyrexTypes.c_long_type.create_to_py_utility_code(env)
        PyrexTypes.c_long_type.create_from_py_utility_code(env)
        PyrexTypes.c_int_type.create_from_py_utility_code(env)

        code.put(Nodes.branch_prediction_macros)
        code.putln('static CYTHON_INLINE void __Pyx_pretend_to_initialize(void* ptr) { (void)ptr; }')
        code.putln('')
        code.putln('static PyObject *%s = NULL;' % env.module_cname)
        code.putln('static PyObject *%s;' % env.module_dict_cname)
        code.putln('static PyObject *%s;' % Naming.builtins_cname)
        code.putln('static PyObject *%s = NULL;' % Naming.cython_runtime_cname)
        code.putln('static PyObject *%s;' % Naming.empty_tuple)
        code.putln('static PyObject *%s;' % Naming.empty_bytes)
        code.putln('static PyObject *%s;' % Naming.empty_unicode)
        if Options.pre_import is not None:
            code.putln('static PyObject *%s;' % Naming.preimport_cname)
        code.putln('static int %s;' % Naming.lineno_cname)
        code.putln('static int %s = 0;' % Naming.clineno_cname)
        code.putln('static const char * %s= %s;' % (Naming.cfilenm_cname, Naming.file_c_macro))
        code.putln('static const char *%s;' % Naming.filename_cname)

        env.use_utility_code(UtilityCode.load_cached(""FastTypeChecks"", ""ModuleSetupCode.c""))
        if has_np_pythran(env):
            env.use_utility_code(UtilityCode.load_cached(""PythranConversion"", ""CppSupport.cpp""))","1. Use `assert` statements to check for invalid input.
2. Sanitize user input before using it in your code.
3. Use strong passwords and security measures to protect your data."
"    def privatize_temps(self, code, exclude_temps=()):
        """"""
        Make any used temporaries private. Before the relevant code block
        code.start_collecting_temps() should have been called.
        """"""
        if self.is_parallel:
            c = self.privatization_insertion_point

            self.temps = temps = code.funcstate.stop_collecting_temps()
            privates, firstprivates = [], []
            for temp, type in sorted(temps):
                if type.is_pyobject or type.is_memoryviewslice:
                    firstprivates.append(temp)
                else:
                    privates.append(temp)

            if privates:
                c.put("" private(%s)"" % "", "".join(privates))
            if firstprivates:
                c.put("" firstprivate(%s)"" % "", "".join(firstprivates))

            if self.breaking_label_used:
                shared_vars = [Naming.parallel_why]
                if self.error_label_used:
                    shared_vars.extend(self.parallel_exc)
                    c.put("" private(%s, %s, %s)"" % self.pos_info)

                c.put("" shared(%s)"" % ', '.join(shared_vars))","1. Make sure that the code is only used in a trusted environment.
2. Use private variables instead of global variables.
3. Use exception handling to catch and handle errors."
"    def end_parallel_block(self, code):
        """"""
        To ensure all OpenMP threads have thread states, we ensure the GIL
        in each thread (which creates a thread state if it doesn't exist),
        after which we release the GIL.
        On exit, reacquire the GIL and release the thread state.

        If compiled without OpenMP support (at the C level), then we still have
        to acquire the GIL to decref any object temporaries.
        """"""
        if self.error_label_used:
            begin_code = self.begin_of_parallel_block
            end_code = code

            begin_code.putln(""#ifdef _OPENMP"")
            begin_code.put_ensure_gil(declare_gilstate=True)
            begin_code.putln(""Py_BEGIN_ALLOW_THREADS"")
            begin_code.putln(""#endif /* _OPENMP */"")

            end_code.putln(""#ifdef _OPENMP"")
            end_code.putln(""Py_END_ALLOW_THREADS"")
            end_code.putln(""#else"")
            end_code.put_safe(""{\\n"")
            end_code.put_ensure_gil()
            end_code.putln(""#endif /* _OPENMP */"")
            self.cleanup_temps(end_code)
            end_code.put_release_ensured_gil()
            end_code.putln(""#ifndef _OPENMP"")
            end_code.put_safe(""}\\n"")
            end_code.putln(""#endif /* _OPENMP */"")","1. Use `ensure_gil()` to ensure the GIL is acquired before entering the parallel block.
2. Use `release_gil()` to release the GIL after exiting the parallel block.
3. Use `cleanup_temps()` to clean up any temporary objects created in the parallel block."
"    def end_parallel_control_flow_block(
            self, code, break_=False, continue_=False, return_=False):
        """"""
        This ends the parallel control flow block and based on how the parallel
        section was exited, takes the corresponding action. The break_ and
        continue_ parameters indicate whether these should be propagated
        outwards:

            for i in prange(...):
                with cython.parallel.parallel():
                    continue

        Here break should be trapped in the parallel block, and propagated to
        the for loop.
        """"""
        c = self.begin_of_parallel_control_block_point

        # Firstly, always prefer errors over returning, continue or break
        if self.error_label_used:
            c.putln(""const char *%s = NULL; int %s = 0, %s = 0;"" % self.parallel_pos_info)
            c.putln(""PyObject *%s = NULL, *%s = NULL, *%s = NULL;"" % self.parallel_exc)

            code.putln(
                ""if (%s) {"" % Naming.parallel_exc_type)
            code.putln(""/* This may have been overridden by a continue, ""
                       ""break or return in another thread. Prefer the error. */"")
            code.putln(""%s = 4;"" % Naming.parallel_why)
            code.putln(
                ""}"")

        if continue_:
            any_label_used = self.any_label_used
        else:
            any_label_used = self.breaking_label_used

        if any_label_used:
            # __pyx_parallel_why is used, declare and initialize
            c.putln(""int %s;"" % Naming.parallel_why)
            c.putln(""%s = 0;"" % Naming.parallel_why)

            code.putln(
                ""if (%s) {"" % Naming.parallel_why)

            for temp_cname, private_cname in self.parallel_private_temps:
                code.putln(""%s = %s;"" % (private_cname, temp_cname))

            code.putln(""switch (%s) {"" % Naming.parallel_why)
            if continue_:
                code.put(""    case 1: "")
                code.put_goto(code.continue_label)

            if break_:
                code.put(""    case 2: "")
                code.put_goto(code.break_label)

            if return_:
                code.put(""    case 3: "")
                code.put_goto(code.return_label)

            if self.error_label_used:
                code.globalstate.use_utility_code(restore_exception_utility_code)
                code.putln(""    case 4:"")
                self.restore_parallel_exception(code)
                code.put_goto(code.error_label)

            code.putln(""}"") # end switch
            code.putln(
                ""}"") # end if

        code.end_block() # end parallel control flow block
        self.redef_builtin_expect_apple_gcc_bug(code)","1. Use `c.putln()` instead of `print()` to prevent information disclosure.
2. Use `code.put_goto()` instead of `goto` to prevent undefined behavior.
3. Use `code.end_block()` to prevent memory leaks."
"    def generate_execution_code(self, code):
        """"""
        Generate code in the following steps

            1)  copy any closure variables determined thread-private
                into temporaries

            2)  allocate temps for start, stop and step

            3)  generate a loop that calculates the total number of steps,
                which then computes the target iteration variable for every step:

                    for i in prange(start, stop, step):
                        ...

                becomes

                    nsteps = (stop - start) / step;
                    i = start;

                    #pragma omp parallel for lastprivate(i)
                    for (temp = 0; temp < nsteps; temp++) {
                        i = start + step * temp;
                        ...
                    }

                Note that accumulation of 'i' would have a data dependency
                between iterations.

                Also, you can't do this

                    for (i = start; i < stop; i += step)
                        ...

                as the '<' operator should become '>' for descending loops.
                'for i from x < i < y:' does not suffer from this problem
                as the relational operator is known at compile time!

            4) release our temps and write back any private closure variables
        """"""
        self.declare_closure_privates(code)

        # This can only be a NameNode
        target_index_cname = self.target.entry.cname

        # This will be used as the dict to format our code strings, holding
        # the start, stop , step, temps and target cnames
        fmt_dict = {
            'target': target_index_cname,
            'target_type': self.target.type.empty_declaration_code()
        }

        # Setup start, stop and step, allocating temps if needed
        start_stop_step = self.start, self.stop, self.step
        defaults = '0', '0', '1'
        for node, name, default in zip(start_stop_step, self.names, defaults):
            if node is None:
                result = default
            elif node.is_literal:
                result = node.get_constant_c_result_code()
            else:
                node.generate_evaluation_code(code)
                result = node.result()

            fmt_dict[name] = result

        fmt_dict['i'] = code.funcstate.allocate_temp(self.index_type, False)
        fmt_dict['nsteps'] = code.funcstate.allocate_temp(self.index_type, False)

        # TODO: check if the step is 0 and if so, raise an exception in a
        # 'with gil' block. For now, just abort
        code.putln(""if (%(step)s == 0) abort();"" % fmt_dict)

        self.setup_parallel_control_flow_block(code) # parallel control flow block

        self.control_flow_var_code_point = code.insertion_point()

        # Note: nsteps is private in an outer scope if present
        code.putln(""%(nsteps)s = (%(stop)s - %(start)s + %(step)s - %(step)s/abs(%(step)s)) / %(step)s;"" % fmt_dict)

        # The target iteration variable might not be initialized, do it only if
        # we are executing at least 1 iteration, otherwise we should leave the
        # target unaffected. The target iteration variable is firstprivate to
        # shut up compiler warnings caused by lastprivate, as the compiler
        # erroneously believes that nsteps may be <= 0, leaving the private
        # target index uninitialized
        code.putln(""if (%(nsteps)s > 0)"" % fmt_dict)
        code.begin_block() # if block
        self.generate_loop(code, fmt_dict)
        code.end_block() # end if block

        self.restore_labels(code)

        if self.else_clause:
            if self.breaking_label_used:
                code.put(""if (%s < 2)"" % Naming.parallel_why)

            code.begin_block() # else block
            code.putln(""/* else */"")
            self.else_clause.generate_execution_code(code)
            code.end_block() # end else block

        # ------ cleanup ------
        self.end_parallel_control_flow_block(code) # end parallel control flow block

        # And finally, release our privates and write back any closure
        # variables
        for temp in start_stop_step + (self.chunksize, self.num_threads):
            if temp is not None:
                temp.generate_disposal_code(code)
                temp.free_temps(code)

        code.funcstate.release_temp(fmt_dict['i'])
        code.funcstate.release_temp(fmt_dict['nsteps'])

        self.release_closure_privates(code)","1. Use `functools.wraps` to preserve the original function's metadata, such as its name, docstring, and annotations.
2. Use `inspect.iscoroutinefunction` to check if the function is a coroutine function.
3. Use `asyncio.run` to run the coroutine function."
